sum_porcp_c,fee_arms,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_d6,visit_number_d2,visit_number_d3,visit_number_d4,visit_number_d5,visit_number_d6,visit_number_d7,edad,faltas,val_pren_std,genero,masqueprepa,prenda,insample,tau_hat_oob$predictions,tau_hat_oob$variance.estimates
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0.2857143,-0.48841673,0,1,3592118,1,-5.897915065407171e-4,0.00333241661079163
1.23436,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,1,-0.56790036,1,1,3586634,1,0.1990648865026973,0.006374753243428208
1.2343637,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,1,-0.47459349,1,1,3586635,1,0.13725668914064432,0.010458378095627248
1.2369452,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,56,0.14285715,-0.43817136,1,1,10462663,0,-0.009964104796990872,0.0037683718773805896
1.00516,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,-0.74356091,1,0,3594124,1,0.03831927916056513,0.009454540638935097
0.47383967,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0.14285715,-0.37724522,0,1,78136307,0,0.00879476744994992,0.008427496905330522
1.2507273,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0.2857143,-0.58863521,1,0,42124966,0,0.23093315556246266,0.006718203759305149
1.2369429,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,0.65200007,1,1,5514230,1,0.24688070111858404,0.0016130228108442327
1.2369442,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.2857143,1.429557,1,1,5514231,1,0.27215378122814554,0.0028010688561729224
1.1802808,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.23614272,0,1,3595825,0,0.0528567621888586,0.005700417609357848
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,-0.60880059,0,1,42124334,0,0.13046722047050413,0.007549159701597076
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.42857143,2.233088,1,1,42124598,0,0.15837630725520452,0.0024610025180840578
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-0.49474272,0,0,42126610,0,0.06115401098774558,0.013048794975235664
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,1.0010368,0,1,10462467,0,0.0471615361718853,0.006061686784711353
1.1468,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,-0.3801316,1,0,3591780,1,-0.03251249049545376,0.006991481454927743
1.1931643,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,-0.43817136,1,1,80118831,0,0.02755400076935418,0.0014841016940322117
0.23951912,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0.41411877,0,1,10463191,0,0.16378075682601423,0.004218568765164474
0.23951675,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,0.051258817,0,1,10463192,0,0.1120961675245468,0.003739169918164762
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.2096566,0,1,42125178,1,0.19874455895414878,0.004397370681441214
